date,factor,ic,n
20260510,fundamental_rank,-0.039084,47
20260511,fundamental_rank,0.054463,47
20260512,fundamental_rank,0.058511,47
20260513,fundamental_rank,0.026943,47
20260514,fundamental_rank,-0.017692,47
20260515,fundamental_rank,-0.209297,47
20260518,fundamental_rank,-0.047143,49
20260519,fundamental_rank,0.250231,47
20260521,fundamental_rank,-0.031452,47
20260522,fundamental_rank,-0.156221,47
20260525,fundamental_rank,0.196924,47
20260526,fundamental_rank,-0.266998,47
20260527,fundamental_rank,-0.355111,47
20260528,fundamental_rank,0.401711,47
20260510,fund_flow_rank,-0.260312,50
20260511,fund_flow_rank,-0.048355,50
20260512,fund_flow_rank,0.197887,50
20260513,fund_flow_rank,-0.15976,50
20260514,fund_flow_rank,0.07419,50
20260515,fund_flow_rank,0.122605,50
20260518,fund_flow_rank,0.288547,50
20260519,fund_flow_rank,0.381128,50
20260521,fund_flow_rank,-0.074862,50
20260522,fund_flow_rank,0.181369,50
20260525,fund_flow_rank,0.345402,50
20260526,fund_flow_rank,0.057575,50
20260527,fund_flow_rank,0.004178,50
20260528,fund_flow_rank,-0.061321,50
20260510,liquidity_rank,-0.176566,50
20260511,liquidity_rank,-0.125708,50
20260512,liquidity_rank,-0.076225,50
20260513,liquidity_rank,0.145774,50
20260514,liquidity_rank,0.094044,50
20260518,liquidity_rank,-0.100099,50
20260519,liquidity_rank,-0.021217,50
20260522,liquidity_rank,-0.246071,50
20260525,liquidity_rank,-0.289063,50
20260527,liquidity_rank,0.153441,50
20260510,tech_rank,-0.164191,50
20260511,tech_rank,0.156581,50
20260512,tech_rank,-0.013989,50
20260513,tech_rank,-0.127145,50
20260514,tech_rank,-0.103683,50
20260518,tech_rank,-0.004547,50
20260519,tech_rank,-0.148092,50
20260521,tech_rank,-0.259448,50
20260522,tech_rank,-0.012102,50
20260525,tech_rank,0.006597,50
20260526,tech_rank,-0.044347,50
20260527,tech_rank,0.016789,50
20260528,tech_rank,0.287721,50
20260510,chips_rank,0.014265,50
20260511,chips_rank,-0.047983,50
20260512,chips_rank,0.059462,50
20260513,chips_rank,0.104659,50
20260514,chips_rank,0.084774,50
20260518,chips_rank,-0.056332,50
20260519,chips_rank,-0.254286,50
20260521,chips_rank,-0.062042,50
20260522,chips_rank,-0.256573,50
20260525,chips_rank,0.029004,50
20260526,chips_rank,0.052298,50
20260527,chips_rank,-0.101515,50
20260528,chips_rank,-0.008692,50
20260510,regime_rank,0.098199,50
20260511,regime_rank,0.132197,50
20260512,regime_rank,0.077359,50
20260513,regime_rank,-0.214982,50
20260514,regime_rank,-0.033565,50
20260518,regime_rank,0.269244,50
20260519,regime_rank,0.384682,50
20260521,regime_rank,0.046146,50
20260522,regime_rank,0.340024,50
20260525,regime_rank,-0.008019,50
20260526,regime_rank,-0.023962,50
20260527,regime_rank,0.121729,50
20260528,regime_rank,-0.137767,50
20260511,sector_rank,-0.105982,50
20260512,sector_rank,-0.094975,50
20260513,sector_rank,-0.084641,50
20260514,sector_rank,-0.147701,50
20260515,sector_rank,-0.310495,50
20260519,sector_rank,-0.150681,50
20260521,sector_rank,-0.348946,50
20260522,sector_rank,-0.410709,50
20260525,sector_rank,0.028983,50
20260526,sector_rank,-0.226334,50
20260527,sector_rank,-0.02956,50
20260528,sector_rank,0.26344,50
20260511,news_rank,0.251189,50
20260512,news_rank,-0.148917,50
20260513,news_rank,0.070062,50
20260514,news_rank,-0.041571,50
20260515,news_rank,-0.147589,50
20260518,news_rank,0.079916,50
20260519,news_rank,0.229903,50
20260521,news_rank,-0.472943,50
20260522,news_rank,-0.000145,50
20260525,news_rank,-0.104232,50
20260526,news_rank,0.052697,50
20260527,news_rank,-0.114491,50
20260528,news_rank,-0.082094,50
20260510,composite,-0.16525,50
20260511,composite,-0.188109,50
20260512,composite,0.041925,50
20260513,composite,-0.157854,50
20260514,composite,-0.125966,50
20260515,composite,-0.21289,50
20260518,composite,-0.177527,50
20260519,composite,0.210296,50
20260521,composite,-0.037026,50
20260522,composite,-0.195601,50
20260525,composite,0.005235,50
20260526,composite,-0.096576,50
20260527,composite,-0.127215,50
20260528,composite,0.236998,50
